article_id,expr_type,value,char_offset
1277.txt,interval, 10 minutes,3276
1277.txt,interval, two weeks,3599
1277.txt,immediate time,immediately,1420
1277.txt,number of years,20 years ,616
1277.txt,year, 1948,270
1277.txt,year, 2003,452
1277.txt,year, 1987,545
1277.txt,year, 1985,605
1277.txt,year, 2003,741
129.txt,interval," Tuesday,",920
129.txt,interval, Monday.,953
129.txt,interval, five years,1133
129.txt,interval, this year,1227
129.txt,interval," this year,",1372
129.txt,number of years,five years.,1134
129.txt,number of years,this year ,1228
129.txt,dd months yyyy, July 2003,877
1245.txt,interval, 59 minutes,79
1245.txt,interval, 72 minutes,249
3.txt,interval, a month,351
3.txt,interval," this year,",721
3.txt,interval, the year,828
3.txt,interval, previous year.,1005
3.txt,interval, next year,1849
3.txt,number of years,the year ,829
3.txt,number of years,next year ,1850
3.txt,dd months yyyy, January 2004,874
3.txt,year, 2004,892
3.txt,year,mid 1990,1068
1523.txt,interval, a year,578
1523.txt,interval, A year,835
1523.txt,number of years,a year ,579
191.txt,interval, fifth year,568
191.txt,number of years,fifth year ,569
191.txt,year, 2004,127
49.txt,interval, last year.,150
49.txt,interval, four months,541
49.txt,dd months yyyy, August 2004,463
49.txt,dd months yyyy, December 2004,1083
49.txt,year, 2004,221
49.txt,year, 2005,305
49.txt,year, 2004,530
49.txt,year, 2003,1058
91.txt,interval," last year,",745
91.txt,interval," this year,",1047
91.txt,interval, last year,2063
91.txt,interval, this year,2090
91.txt,interval, last year,2265
91.txt,number of years,last year ,2064
91.txt,number of years,this year ,2091
91.txt,number of years,last year ,2266
183.txt,interval," Wednesday,",104
183.txt,interval, a year,277
183.txt,interval, 2005 year.,691
183.txt,interval, making today,1013
183.txt,number of years,a year ,278
183.txt,year, 2004,753
183.txt,year, 2004,865
183.txt,year, 2005,936
183.txt,year, 2005,1145
183.txt,year, 2005,1295
183.txt,month,October,246
183.txt,month,December,257
805.txt,interval, final week.,159
805.txt,interval," Wednesday,",1043
805.txt,interval," Thursday,",2546
805.txt,weekday,next Thursday,2542
805.txt,number of years,half years ,944
805.txt,month,November,2559
1467.txt,interval, whole minute,937
1467.txt,interval, 50 years,1925
1467.txt,interval," per minute,",1985
1467.txt,number of years,50 years ,1926
1467.txt,year, 1955,1840
1467.txt,month,December,666
1459.txt,interval, the week,1228
1459.txt,month,March,966
1268.txt,interval, 14th minute,183
1268.txt,interval, six minutes,433
1268.txt,interval, six minutes,621
1268.txt,interval, 74th minute.,1799
1268.txt,interval, five minutes,2302
1268.txt,interval, last year.,2946
872.txt,interval, Tuesday.,398
872.txt,interval," each year,",599
872.txt,interval, Today,715
872.txt,interval, two weeks,2004
872.txt,interval, Today,2949
872.txt,month,May,2788
872.txt,month,May,2893
38.txt,interval, the day,244
38.txt,interval, Friday.,467
623.txt,interval, three years,1113
623.txt,number of years,three years ,1114
623.txt,year, 2003,1473
623.txt,year,late 1990s,1732
623.txt,month,April,1585
1717.txt,interval, 12 months,635
1717.txt,interval, early days,1163
1717.txt,interval, three months,1775
1717.txt,number of years,The year ,0
1717.txt,year, 1999,1362
1717.txt,month,September,1792
1067.txt,interval," this season,",183
1067.txt,interval, the season.,655
1067.txt,year, 2003,531
651.txt,interval, 15 days,196
651.txt,interval, recent years,724
651.txt,number of years,recent years ,725
651.txt,year, 1995,564
651.txt,month,January,286
651.txt,month,November,441
798.txt,interval, a day,301
798.txt,interval, 22 years,545
798.txt,interval, a day,1849
798.txt,number of years,22 years ,546
211.txt,year, 2004,304
1322.txt,interval, dying minutes,308
1322.txt,interval, this year,2021
1322.txt,month,September,2130
1172.txt,interval, 43rd minute.,238
1172.txt,interval, 55 minutes,1475
1172.txt,interval, 80 minutes,1550
1172.txt,interval, next week,1599
487.txt,interval, 16 years,872
487.txt,interval, opening week,1563
487.txt,interval, many years,2166
487.txt,number of years,16 years ,873
487.txt,number of years,"many years,",2167
487.txt,year, 1988,944
487.txt,year, 2001,1357
1636.txt,interval, per minute,540
1636.txt,interval, next year.,2107
231.txt,interval, likely day.,1749
231.txt,month,March,263
231.txt,month,May,379
231.txt,month,July,463
231.txt,month,January,1526
231.txt,month,May,1739
416.txt,interval, the minute.,604
416.txt,interval, Mondays,2457
416.txt,year, 2004,96
416.txt,year,early 1990s,1183
416.txt,year, 2004,2675
416.txt,month,September,2325
493.txt,interval, two years,1114
493.txt,interval," next week,",1175
493.txt,number of years,two years ,1115
493.txt,year, 1982,1091
493.txt,month,March,1477
493.txt,month,September,1506
96.txt,interval, this year.,721
96.txt,year, 2003,217
96.txt,month,July,166
96.txt,month,July,1583
591.txt,interval, The Year,1027
591.txt,year, 2002,490
591.txt,year, 2003,777
591.txt,year, 2004,838
435.txt,dd months yyyy, September 2004,1221
435.txt,month,March,250
870.txt,interval,"
Two days",33
870.txt,interval, Wednesday.,127
870.txt,month,October,278
603.txt,interval," last week,",242
603.txt,interval, two days,291
603.txt,interval, this year,331
603.txt,interval, 50 years,399
603.txt,number of years,this year ,332
603.txt,number of years,50 years.,400
603.txt,month,December,990
603.txt,month,January,1017
620.txt,year, 2002,258
1437.txt,interval, some days,1069
1437.txt,interval,This season,2069
1437.txt,interval, that today,2187
1437.txt,interval, all week.,2279
524.txt,year, 1960s,690
524.txt,year, 2001,1430
524.txt,month,May,272
524.txt,month,February,508
524.txt,month,March,1100
524.txt,month,May,1286
849.txt,interval, six months,655
849.txt,interval, Today,961
849.txt,interval, 10 years,1054
849.txt,interval, 12 months,1400
849.txt,interval, Last year,2118
849.txt,number of years,10 years.,1055
849.txt,number of years,Last year ,2119
1107.txt,interval, last week.,490
1107.txt,interval, every week,883
26.txt,interval, Friday.,953
26.txt,interval, upwards years,1301
26.txt,interval, this year,1966
26.txt,interval, 10 years,2348
26.txt,interval, every month.,2461
26.txt,number of years,upwards years ,1302
26.txt,number of years,This year ,2088
26.txt,number of years,10 years.,2349
26.txt,year,late 1980s,1198
26.txt,year, 1970s,2196
26.txt,year, 1980s,2206
306.txt,interval, the week,297
306.txt,interval, these days,964
306.txt,interval, 39 hour,1487
306.txt,interval, 35 hours,1527
306.txt,interval, region today,1863
306.txt,interval, these days,3068
306.txt,interval, this year,3190
306.txt,interval, bad year,3245
306.txt,interval, recent years,3291
306.txt,interval, four hours,3702
306.txt,interval, a week,3713
306.txt,interval, Four years,4527
306.txt,number of years,this year ,3191
306.txt,number of years,recent years.,3292
306.txt,number of years,Four years ,4528
306.txt,year, 1990,693
306.txt,year, 1945,826
306.txt,year, 2010,4521
1736.txt,interval, this week,2347
1736.txt,year, 2003,410
1736.txt,month,February,726
1736.txt,month,September,828
835.txt,month,May,1001
86.txt,month,January,1181
845.txt,interval, afternoon,2838
845.txt,year, 2006,280
62.txt,interval, election year,19
62.txt,interval, few months,83
62.txt,interval, this week,375
62.txt,interval, the year.,417
62.txt,interval, this year,781
62.txt,interval, 8 months,1245
62.txt,interval, last year.,1305
62.txt,number of years,this year ,782
62.txt,year, 1997,202
62.txt,year, 2005,1022
62.txt,year, 2005,1595
62.txt,month,May,495
62.txt,month,January,590
62.txt,month,October,622
62.txt,month,January,961
62.txt,month,January,1276
62.txt,month,October,1298
619.txt,interval, last year.,502
619.txt,interval," last year,",778
619.txt,interval, Other season,1141
619.txt,year, 2004,80
619.txt,year, 2004,629
619.txt,year, 2004,962
165.txt,interval, last year.,151
165.txt,interval, Tuesday.,271
165.txt,interval," Last year,",492
165.txt,month,April,286
1609.txt,year, 2003,948
1609.txt,year, 2004,957
904.txt,interval, one day,264
904.txt,interval, Last month,1189
904.txt,year, 1993,994
904.txt,month,November,278
904.txt,month,April,1426
323.txt,interval, retirement years,723
323.txt,interval, last year.,2004
323.txt,number of years,retirement years ,724
1668.txt,interval, only days,2212
1668.txt,month,November,209
81.txt,interval," Monday,",601
81.txt,interval, this year.,2124
81.txt,interval, twenty year,2354
81.txt,interval, few months,2500
81.txt,number of years,twenty year ,2355
81.txt,year, 2001,1202
81.txt,year, 2001,1277
81.txt,year, 2005,1367
81.txt,year, 2009,1520
81.txt,year, 2009,2860
552.txt,Season, Fall ,1194
552.txt,month,February,492
552.txt,month,May,695
642.txt,interval, this year.,715
746.txt,interval, a day,186
746.txt,interval, next week.,951
746.txt,interval, a year,1954
746.txt,interval, a year,2167
746.txt,number of years,a year ,1955
746.txt,number of years,a year ,2168
746.txt,dd months yyyy, September 2004,918
746.txt,dd months yyyy, December 2003,1615
746.txt,month,February,2296
910.txt,interval, Today,955
910.txt,interval, Sunday.,2283
1062.txt,interval, 14 minutes,157
1062.txt,interval, last year.,288
1062.txt,24hr time,14:39,226
1062.txt,24hr time,7:39,483
1062.txt,24hr time,7:41,522
1062.txt,24hr time,2:01,930
665.txt,interval," Doris Day,",167
665.txt,interval, Doris Day,842
665.txt,year, 1988,269
665.txt,year,mid-1960s,553
665.txt,year, 1969,906
1217.txt,interval, proposes season,3
1217.txt,interval, Hemisphere season,85
1217.txt,interval,"
The season",131
1217.txt,interval, nine week,293
1217.txt,interval," next month,",1187
1217.txt,interval, integrated season,1271
1217.txt,interval, early days,1341
1217.txt,month,October,181
1217.txt,month,February,222
1217.txt,month,March,235
1217.txt,month,April,271
1217.txt,month,May,281
1217.txt,month,February,908
376.txt,interval, six months,466
376.txt,interval," next month,",966
376.txt,interval, 10 years,1157
376.txt,number of years,10 years.,1158
330.txt,interval," the month,",125
330.txt,interval, last week,349
330.txt,interval, this week.,767
330.txt,month,December,1314
194.txt,interval, 62 years,294
194.txt,interval, important year,756
194.txt,number of years,62 years.,295
194.txt,number of years,important year ,757
194.txt,year, 2005,1015
194.txt,year, 2006,1650
489.txt,interval, 40 years,2046
489.txt,interval, 20 years,2536
489.txt,number of years,40 years ,2047
489.txt,number of years,20 years ,2537
489.txt,dd months yyyy, June 2004,2821
489.txt,year, 1960s,461
489.txt,year, 1965,1439
489.txt,year, 1950s,1459
489.txt,year, 1959,1702
489.txt,year, 1962,2078
489.txt,year, 1972,2264
489.txt,year, 1993,2602
489.txt,year, 1960s,3139
489.txt,month,May,2501
252.txt,interval, few minutes,231
252.txt,year, 2004,1577
252.txt,month,August,249
252.txt,month,August,1281
645.txt,interval, Fridays,113
645.txt,interval, Sundays,124
645.txt,interval, last year,533
645.txt,interval, a week,818
645.txt,interval, Fridays,851
645.txt,interval, next year,1191
645.txt,interval, Sundays,1937
645.txt,Season, Spring ,1184
645.txt,number of years,last year ,534
645.txt,number of years,next year ,1192
645.txt,year, 1964,429
645.txt,year,mid-1990s,912
645.txt,year, 1900,1929
645.txt,month,December,525
31.txt,interval, six months,1023
31.txt,interval, a month,1185
31.txt,year, 1973,1037
31.txt,year, 1979,1227
31.txt,year, 1983,1300
31.txt,year, 1985,1417
31.txt,month,January,654
560.txt,numbers-time-deictic,six years ago,9094
560.txt,interval, the day.,971
560.txt,interval," out yesterday,",3356
560.txt,interval, this year,3907
560.txt,interval, last year.,4115
560.txt,interval, six years,9093
560.txt,interval, these days,11112
560.txt,number of years,this year ,3908
560.txt,year, 1940s,5937
1697.txt,interval, the hour,24
1697.txt,interval, the hour.,160
1697.txt,interval, an hour,205
1697.txt,interval, an hour,711
1697.txt,interval, 12 hour,1381
74.txt,dd months yyyy, August 2004,426
74.txt,dd months yyyy, August 2004,832
74.txt,year, 2005,806
1319.txt,interval, 11 days,614
1319.txt,interval, single day,926
1319.txt,year, 2007,1074
1247.txt,interval, last month.,1097
1247.txt,month,October,389
1093.txt,interval," Tuesday,",823
1093.txt,month,December,344
1546.txt,interval, next year.,969
1546.txt,interval, last year,1705
1546.txt,interval, three years,2613
1546.txt,number of years,last year ,1706
1546.txt,number of years,"three years,",2614
1546.txt,year,mid-1990s,579
1546.txt,year, 2006,1732
1546.txt,year, 2007,3158
1029.txt,interval, six months,108
1029.txt,interval, this week,2190
1029.txt,month,December,481
1029.txt,month,July,1248
1538.txt,interval, many years,222
1538.txt,interval, last year,267
1538.txt,interval," this year,",597
1538.txt,interval, next year.,1023
1538.txt,number of years,many years ,223
1538.txt,number of years,last year ,268
1538.txt,year, 2005,1066
1538.txt,year,2005,1180
1538.txt,year,2005,4071
1538.txt,year,2005,4301
1538.txt,year, 2005,4433
963.txt,interval, on years,223
963.txt,interval, of years,761
963.txt,interval, a week,1074
963.txt,interval, six months,1095
963.txt,interval,s Hour,1717
963.txt,interval, Monday.,1726
963.txt,interval, drastically year,2539
963.txt,interval," on year,",2556
963.txt,interval, 14 year,2792
963.txt,number of years,on years ,224
963.txt,number of years,of years ,762
963.txt,number of years,drastically year ,2540
963.txt,month,April,1901
963.txt,month,September,2882
963.txt,month,November,3183
594.txt,interval, this year,62
594.txt,interval," 20th year,",474
594.txt,interval, the day,575
594.txt,interval, Last year,1415
1442.txt,interval, six weeks,135
1442.txt,interval, Monday.,239
1442.txt,interval,Six weeks,249
1442.txt,interval, more weeks,320
1442.txt,interval, three months,541
1442.txt,interval, the season,557
1442.txt,interval, three days,765
1442.txt,interval, eight weeks,857
1442.txt,interval," next month,",1006
1442.txt,interval, two months,1277
1442.txt,year, 2002,1357
1442.txt,month,March,952
1742.txt,interval, the year.,507
1742.txt,interval, next year,1462
1742.txt,interval, this week.,2540
1742.txt,number of years,next year ,1463
1742.txt,year, 2005,1635
1742.txt,year, 2004,1658
1742.txt,year, 2007,2334
1742.txt,month,January,2110
386.txt,interval, three months,74
386.txt,interval, a year,318
386.txt,interval, last year,1038
386.txt,number of years,a year ,319
386.txt,number of years,last year ,1039
386.txt,year, 2004,90
386.txt,year, 2004,297
386.txt,year, 2003,343
386.txt,year, 2004,779
386.txt,month,July,481
551.txt,interval, this year,84
551.txt,interval, one year,1201
551.txt,interval," last year,",2512
551.txt,interval, the year,2971
551.txt,interval, last year,3045
551.txt,number of years,one year ,1202
551.txt,number of years,the year ,2972
551.txt,dd months yyyy, April 2004,488
551.txt,dd months yyyy, October 2002,2066
551.txt,year, 2002,414
551.txt,year, 1980s,703
551.txt,year, 2001,1611
508.txt,interval, New Year.,1058
508.txt,interval, first season,1426
508.txt,interval, second season,1633
508.txt,year, 1979,1340
508.txt,month,December,1002
658.txt,interval," heyday,",147
658.txt,interval, some years,2427
658.txt,number of years,some years ,2428
658.txt,year, 1910,237
658.txt,year, 1929,1139
658.txt,year, 1935,1395
658.txt,year, 1950,2028
658.txt,year, 1963,2127
1044.txt,interval, 30 years,369
1044.txt,number of years,30 years ,370
1044.txt,year, 2001,779
1044.txt,year,early 2006,918
1044.txt,year, 1975,1042
616.txt,interval, the week,73
616.txt,dd months yyyy, June 2004,1019
616.txt,year, 2200,661
1052.txt,interval, this year.,1183
1052.txt,interval, Sportsweek,2153
1052.txt,interval, Sunday.,2179
1723.txt,interval, every day.,783
1723.txt,interval, three days,2275
1723.txt,dd months yyyy, November 2003,1129
1723.txt,dd months yyyy, July 2004,2039
1274.txt,interval, 70th minute.,1130
1274.txt,interval, three minutes,1295
1274.txt,month,May,681
1274.txt,month,May,943
1274.txt,month,May,1145
1274.txt,month,May,1541
1274.txt,month,May,1555
1274.txt,month,May,1566
960.txt,year, 1984,419
960.txt,year, 2007,1052
960.txt,year,-2013,1057
960.txt,month,June,1131
1171.txt,interval, next season.,480
1171.txt,interval, last week,526
1693.txt,interval, many years,581
1693.txt,interval, last year,642
1693.txt,number of years,many years.,582
1693.txt,number of years,last year ,643
1693.txt,month,March,28
1693.txt,month,March,101
1693.txt,month,March,892
1072.txt,numbers-time-deictic,six weeks ago,618
1072.txt,interval, six weeks,617
1072.txt,interval, the season,1209
1072.txt,year, 1930,1868
1072.txt,month,May,794
1072.txt,month,January,1855
1473.txt,interval, working day.,114
1473.txt,interval,5 hours,801
1473.txt,interval, eight hours,1055
1473.txt,interval, eight hours,2889
1473.txt,year, 2000,489
881.txt,interval, this week,600
881.txt,interval, last year,920
881.txt,interval, Today,1195
881.txt,interval, Today,2077
881.txt,number of years,last year ,921
881.txt,year, 1989,2016
881.txt,month,October,1737
1106.txt,interval, this season.,670
1106.txt,interval, of months,929
1106.txt,year, 1998,522
1106.txt,year, 1500,1022
1106.txt,year, 1500,2674
1116.txt,interval, last year,913
1116.txt,interval, this year.,927
1116.txt,interval,winning seasons,1008
1116.txt,number of years,last year ,914
1772.txt,interval, this month,1132
1430.txt,interval, two years,92
1430.txt,interval, Tuesday.,169
1430.txt,interval, last year,675
1430.txt,number of years,two years ,93
1430.txt,number of years,last year ,676
1430.txt,dd months yyyy, October 2002,621
1689.txt,interval, this week.,252
1689.txt,interval, the year.,1318
366.txt,interval, last year.,159
366.txt,dd months yyyy, December 2003,1274
485.txt,interval, next month.,228
485.txt,interval, Hollywood Years,598
485.txt,interval, Thursday.,711
485.txt,month,March,783
766.txt,interval, three months,168
766.txt,interval, next year.,2047
766.txt,month,January,332
1517.txt,interval, 72 hours,3624
1517.txt,interval, a week.,3647
1517.txt,Season, Autumn ,1975
1517.txt,year, 1990s,392
1517.txt,year,mid-1990s,748
1517.txt,year, 2003,801
1517.txt,month,February,3906
1587.txt,interval," Last week,",2420
1587.txt,interval, 72 hours,2520
1587.txt,interval, early days,3481
1587.txt,month,September,2410
1153.txt,interval, 21 years,753
1153.txt,number of years,21 years.,754
1153.txt,year, 2003,183
93.txt,interval," Friday,",422
93.txt,interval," Thursday,",1112
93.txt,interval, be weeks,1524
93.txt,month,December,709
1103.txt,interval, Saturday.,240
1103.txt,interval, six weeks,328
1103.txt,interval, afternoon,497
1103.txt,interval, a week.,552
1103.txt,interval, a week.,851
1103.txt,interval, six weeks,1184
1103.txt,interval, 80 minutes,1271
1103.txt,interval, this week,1291
97.txt,interval," Tuesday,",477
97.txt,interval, a day,1276
97.txt,interval, past weeks,1831
97.txt,month,November,453
29.txt,interval, second day,488
29.txt,interval, of weeks,708
29.txt,interval, here today.,1756
29.txt,interval, 85 years,1815
29.txt,interval, last year,2023
29.txt,number of years,85 years ,1816
29.txt,number of years,last year ,2024
29.txt,year, 2002,1029
1038.txt,interval, a day,1105
1038.txt,interval, Daniel Day,2500
1038.txt,dd months yyyy, October 1989,2258
1038.txt,dd months yyyy, June 1991,2343
1038.txt,year, 1974,259
157.txt,interval, last year,528
157.txt,interval, three months,951
157.txt,number of years,last year ,529
157.txt,month,August,522
157.txt,month,September,968
157.txt,month,October,1070
1294.txt,interval, next month,84
1294.txt,interval, Saturday.,181
1294.txt,interval, last year,544
1294.txt,interval, the season,712
1294.txt,year, 2000,602
1294.txt,month,February,1001
1595.txt,interval, 18 months,484
1595.txt,interval, four years,830
1595.txt,interval, coding days,2804
1595.txt,number of years,four years ,831
1595.txt,year, 2005,648
363.txt,interval, two days,411
363.txt,interval, 85 years,1341
363.txt,interval," Monday,",1721
363.txt,number of years,85 years ,1342
363.txt,year, 2002,361
363.txt,year,late 2000,755
363.txt,year, 2000,1242
363.txt,year, 2002,1251
363.txt,year, 2004,1687
1024.txt,interval," Wednesday,",77
1024.txt,interval, the year,1543
1024.txt,interval, this year,1645
1024.txt,interval, seven years,2871
1024.txt,number of years,the year ,1544
1024.txt,number of years,this year ,1646
1024.txt,number of years,seven years ,2872
1024.txt,dd months yyyy,11 September 2001,477
1024.txt,year, 2001,356
1024.txt,year, 2001,1934
1024.txt,year, 1987,2225
1024.txt,year, 1974,2283
1024.txt,year, 1999,3610
1024.txt,year, 2003,3799
1024.txt,month,April,1005
1024.txt,month,January,1635
359.txt,month,December,845
359.txt,month,February,1361
1112.txt,numbers-time-deictic,four years ago,1666
1112.txt,interval," the day,",1092
1112.txt,interval, four years,1665
1112.txt,year,"
1300",66
1112.txt,year, 2000,153
1112.txt,month,November,33
1112.txt,month,November,916
1112.txt,month,July,1414
988.txt,interval,half an hour,125
988.txt,interval, just minutes,1146
988.txt,interval, Thursday.,1319
988.txt,immediate time,immediately,1415
988.txt,year, 1947,1065
365.txt,numbers-time-deictic,two months ago,325
365.txt,interval, two months,324
365.txt,interval, second month,734
365.txt,interval, last year.,764
365.txt,month,April,253
365.txt,month,January,403
365.txt,month,November,476
365.txt,month,January,722
984.txt,interval, next week,1318
984.txt,interval," Monday,",1860
984.txt,interval, Today,2257
984.txt,dd months yyyy, December 2001,1679
1393.txt,interval, this month,291
1393.txt,interval, the season,452
922.txt,interval, Monday.,134
922.txt,interval, the week,274
922.txt,interval, this week,349
922.txt,month,May,493
676.txt,interval, in week,208
676.txt,interval, last week,373
676.txt,interval, opening week,886
676.txt,interval, holiday,1275
676.txt,year, 2001,819
676.txt,year, 1960s,947
676.txt,month,December,707
255.txt,interval, Sunday.,469
255.txt,interval," Monday,",557
255.txt,interval, a year.,596
255.txt,interval, each year,653
255.txt,interval, 25 years,667
255.txt,interval, each year,870
255.txt,number of years,each year ,654
255.txt,number of years,25 years ,668
255.txt,number of years,each year ,871
255.txt,year, 2007,692
255.txt,year, 2011,885
1713.txt,interval, early hours,199
1713.txt,interval, early hours,684
1713.txt,interval, next week.,1764
1713.txt,interval, closing days,1862
1713.txt,month,October,703
1713.txt,month,October,1335
1713.txt,month,November,1665
1252.txt,numbers-time-deictic,five years ago,563
1252.txt,interval, Wednesday.,139
1252.txt,interval, five years,562
1252.txt,interval, last season.,2022
1252.txt,year, 2000,276
1252.txt,year, 2000,1187
1252.txt,year, 1998,1439
1252.txt,year, 2003,1607
1252.txt,year, 2000,1911
1252.txt,year, 1998,2121
1252.txt,year, 2000,2140
1252.txt,year, 1993,2204
1252.txt,year, 1994,2229
1252.txt,year, 2000,2286
1248.txt,interval, superb week,67
1248.txt,interval, coming days,591
1248.txt,interval, a year,847
1248.txt,number of years,a year ,848
1248.txt,month,January,705
757.txt,interval, Thursday.,281
757.txt,interval, next year,578
757.txt,interval, election year.,652
1745.txt,interval, this year,198
1745.txt,interval, recent months,613
1745.txt,number of years,this year ,199
1745.txt,year, 2005,1301
1745.txt,year, 2002,2200
1745.txt,year, 2005,2565
956.txt,month,September,2171
566.txt,interval, eight years,1235
566.txt,number of years,"eight years,",1236
566.txt,year, 2003,218
566.txt,year, 1995,559
566.txt,year, 1984,1521
566.txt,month,January,304
1096.txt,interval, a week,361
1096.txt,interval, last season.,714
1096.txt,interval, the season,783
1096.txt,interval, the season.,943
1096.txt,interval, next season,1102
1096.txt,interval, last year,1214
1096.txt,year, 2001,1005
1096.txt,month,January,91
1096.txt,month,January,552
783.txt,interval, last week,950
783.txt,interval, be months,1043
783.txt,year, 2001,789
783.txt,year, 2001,1571
783.txt,year, 2002,2672
987.txt,interval, first day,590
987.txt,interval," Thursday,",1498
987.txt,interval, three years,2954
987.txt,number of years,three years.,2955
987.txt,month,September,1276
987.txt,month,July,3271
1272.txt,interval, of years,457
1272.txt,interval, last year,522
1272.txt,number of years,of years.,458
1272.txt,number of years,last year ,523
1272.txt,month,September,627
349.txt,year, 2000,275
349.txt,year, 2003,284
349.txt,year, 2003,504
770.txt,interval, Today,1183
770.txt,interval, 200 years,1848
770.txt,interval,Today,2474
770.txt,number of years,200 years ,1849
917.txt,interval, last month,1761
1218.txt,interval, 18 minutes,173
1218.txt,interval, five minutes,377
1218.txt,interval," next week,",1375
1218.txt,interval," last season,",1498
1218.txt,interval," next week,",1573
1218.txt,interval," performance today,",1777
801.txt,numbers-time-deictic,three months ago,139
801.txt,interval, three months,138
801.txt,interval, five years,1522
801.txt,number of years,"five years,",1523
88.txt,interval," last month,",203
88.txt,interval, the year,553
88.txt,interval, ten years,1074
88.txt,interval, working hours,1392
88.txt,interval," this year,",1486
88.txt,number of years,the year ,554
88.txt,number of years,"ten years,",1075
88.txt,month,October,263
344.txt,interval, 50 years,853
344.txt,number of years,50 years ,854
344.txt,year, 1999,256
344.txt,year, 1998,1323
545.txt,interval, this year,58
545.txt,interval, recent years,877
545.txt,interval, 24 hours,1260
545.txt,interval, this year,1578
545.txt,number of years,recent years.,878
545.txt,year, 2004,1207
545.txt,month,June,340
545.txt,month,April,381
545.txt,month,June,788
1147.txt,interval, Tuesday.,887
1670.txt,immediate time,immediately,1524
1260.txt,interval, four days,1021
1260.txt,year, 2000,585
1260.txt,month,August,873
497.txt,interval, last year.,1063
497.txt,month,February,501
228.txt,interval, 25 years,359
228.txt,interval, last year,399
228.txt,interval, next month.,641
228.txt,interval, Thursday.,707
228.txt,interval, one day.,867
228.txt,interval," Thursday,",889
228.txt,number of years,25 years.,360
228.txt,number of years,last year ,400
228.txt,year, 1130,698
228.txt,year, 2004,1651
228.txt,month,December,466
228.txt,month,December,518
228.txt,month,January,1320
481.txt,interval," Friday,",209
481.txt,interval, a month,1194
481.txt,interval," Another Day,",1354
481.txt,year, 2005,1257
481.txt,year, 2006,1286
481.txt,year,late 2002,1384
481.txt,year, 2004,1566
621.txt,interval, those days,834
621.txt,interval, four weeks,907
621.txt,interval," a week,",1080
621.txt,interval, 50 years,1239
621.txt,number of years,50 years ,1240
621.txt,year, 1968,1354
1647.txt,interval, updated month,147
1647.txt,interval, this month.,560
1647.txt,interval, per week.,984
1647.txt,interval, two years,2058
1647.txt,interval, Last year,2242
1647.txt,number of years,two years.,2059
1647.txt,number of years,Last year ,2243
1647.txt,dd months yyyy, December 2004,2161
1647.txt,year, 2003,2072
309.txt,interval, last week,420
309.txt,interval, afternoon,609
309.txt,interval, 12 months,1022
309.txt,interval, fiscal year,1109
309.txt,interval, past years,1297
309.txt,interval, fiscal year.,1525
309.txt,number of years,fiscal year ,1110
309.txt,number of years,"past years,",1298
309.txt,year, 2006,1194
309.txt,year, 2006,1515
309.txt,year,-2007,1520
309.txt,month,June,1041
532.txt,interval, Mondays,1027
532.txt,interval, the week,1485
1321.txt,numbers-time-deictic,three minutes later,1710
1321.txt,interval, 23 minutes,300
1321.txt,interval, 23 minutes,1039
1321.txt,interval, two minutes,1338
1321.txt,interval, 48 minutes,1549
1321.txt,interval, three minutes,1709
1321.txt,interval, 57 minutes,1930
444.txt,interval, Thoday.,278
444.txt,interval, Thoday,634
444.txt,interval, 20 years,729
444.txt,interval, Thoday,838
444.txt,Season, Spring,155
444.txt,number of years,20 years.,730
444.txt,year, 1946,192
444.txt,year, 1999,917
682.txt,interval, Sunday.,472
682.txt,interval, Oday,997
682.txt,interval, everyday,1190
682.txt,dd months yyyy, November 2004,1659
682.txt,year, 1980s,1037
567.txt,interval, last year.,156
567.txt,interval, first month,287
567.txt,interval, last month,372
567.txt,interval, their month,709
567.txt,interval, a year,749
567.txt,interval, on year,756
567.txt,interval," last year,",1114
567.txt,number of years,a year ,750
567.txt,number of years,on year ,757
567.txt,dd months yyyy, January 2004,402
567.txt,dd months yyyy, January 2005,1087
567.txt,year, 2002,471
567.txt,year, 2004,1038
567.txt,month,January,115
567.txt,month,July,311
567.txt,month,January,780
1577.txt,interval," this week,",130
1577.txt,interval, a year.,1332
1336.txt,interval, the year,397
1336.txt,number of years,the year ,398
54.txt,interval, previous month.,239
54.txt,interval, quiet month,535
54.txt,interval, previous year,723
54.txt,interval, a season,781
54.txt,interval, first month,1307
54.txt,interval, the year.,1322
54.txt,number of years,previous year ,724
54.txt,year,late 2004,392
54.txt,year, 2004,710
54.txt,year, 2003,899
54.txt,year, 2004,1205
54.txt,month,December,63
54.txt,month,December,201
54.txt,month,November,305
54.txt,month,December,497
54.txt,month,December,508
54.txt,month,October,827
54.txt,month,December,839
54.txt,month,January,1254
195.txt,interval, 85 years,1645
195.txt,interval," Last week,",1778
195.txt,number of years,85 years ,1646
195.txt,year, 2002,323
195.txt,year,early 2001,879
195.txt,year, 2002,893
195.txt,year, 2001,1575
195.txt,year, 2004,1747
935.txt,numbers-time-deictic,two weeks ago,1950
935.txt,interval, Today,550
935.txt,interval, this year,917
935.txt,interval, this year,1676
935.txt,interval, election year,1688
935.txt,interval, two weeks,1949
935.txt,interval," Cambridge today,",2547
935.txt,interval,One day,2812
935.txt,interval, speech today,3108
935.txt,interval, family today.,3400
935.txt,number of years,this year ,918
